,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C]
2068,6.157017,7.068301,6.822390,5.986510,5.979289,5.574269,5.558817,6.056853,-1.425202,6.554889,6.056853,6.190126,-0.381377,6.323398,6.127932,6.190258,-0.178354,6.252583
2069,6.147897,7.157136,6.935949,6.095666,6.087138,5.728961,5.653059,6.059029,-1.292175,6.465000,6.059029,6.175785,-0.371627,6.292542,6.121299,6.178295,-0.181412,6.235290
2070,6.338475,8.370053,8.172804,7.744110,7.736939,7.428570,7.198791,6.521168,2.432718,5.843544,6.521168,6.308049,0.765112,6.094930,6.407504,6.259584,0.531044,6.111665
2071,6.501459,8.906824,8.609712,8.318842,8.305632,8.036383,7.820032,6.841237,3.980348,5.862442,6.841237,6.446393,1.605666,6.051548,6.630653,6.353808,1.125815,6.076962
2072,6.654686,9.280222,8.913136,8.971349,8.948353,8.668079,8.457359,7.138037,5.309436,5.818715,7.138037,6.577080,2.257497,6.016123,6.838860,6.444202,1.588249,6.049544
2073,6.756739,9.494040,9.081481,9.176687,9.152161,8.874828,8.692270,7.308323,5.640930,5.924376,7.308323,6.672351,2.592206,6.036379,6.969138,6.513997,1.855141,6.058857
2074,6.843724,9.670654,9.195019,9.302177,9.277569,9.028248,8.866779,7.444648,5.942938,6.022517,7.444648,6.755577,2.879557,6.066506,7.077143,6.576960,2.090214,6.076777
2075,6.931404,9.801237,9.315541,9.463885,9.435594,9.200278,9.073861,7.582811,6.417414,6.091761,7.582811,6.838660,3.202793,6.094510,7.185931,6.640516,2.347442,6.095101
2076,7.029181,9.986926,9.571052,9.756828,9.723302,9.494404,9.385495,7.748589,7.136606,6.111683,7.748589,6.927692,3.578957,6.106796,7.310777,6.707357,2.630802,6.103936
2077,7.103959,10.056765,9.595934,9.788378,9.757716,9.543312,9.450343,7.847778,7.279974,6.245212,7.847778,7.003526,3.835181,6.159275,7.397510,6.768472,2.857531,6.139434
2078,7.190007,10.264105,9.827876,10.001800,9.981685,9.785590,9.704600,7.987301,7.849440,6.270001,7.987301,7.083155,4.132672,6.179010,7.505090,6.829913,3.086101,6.154736
2079,7.278231,10.406635,10.001537,10.188328,10.169361,9.991433,9.900857,8.121446,8.316706,6.342036,8.121446,7.167388,4.459127,6.213330,7.612615,6.896078,3.348991,6.179541
2080,7.360181,10.518797,10.175596,10.400169,10.375708,10.205865,10.100801,8.247874,8.716148,6.394948,8.247874,7.244958,4.717709,6.242042,7.712986,6.956976,3.556263,6.200966
2081,7.444366,10.743952,10.514170,10.741592,10.725746,10.571625,10.429210,8.398618,9.323139,6.368026,8.398618,7.318918,4.957274,6.239217,7.822778,7.011895,3.723039,6.201013
2082,7.111964,10.111859,9.813744,9.769447,9.748828,9.507554,9.244416,7.816614,4.146961,6.388812,7.816614,7.022039,2.307793,6.227464,7.392841,6.790963,1.748118,6.189084
2083,7.008782,9.837523,9.545251,9.432134,9.416844,9.158737,8.912665,7.637695,3.770720,6.362725,7.637695,6.929038,2.095851,6.220381,7.259744,6.721968,1.590471,6.184192
2084,6.809070,8.943755,8.597404,8.346818,8.326961,8.002784,7.736189,7.233779,1.248137,6.731369,7.233779,6.767658,1.157985,6.301536,6.985181,6.607801,0.937526,6.230420
2085,6.724450,8.783316,8.485431,8.199859,8.188241,7.842866,7.621848,7.096209,1.284267,6.570571,7.096209,6.687766,0.997930,6.279323,6.878373,6.548537,0.805873,6.218701
2086,6.584592,7.981634,7.729631,7.096657,7.089382,6.754788,6.588219,6.775731,-0.526375,6.963242,6.775731,6.584958,0.535530,6.394186,6.673986,6.482429,0.537732,6.290872
2087,6.485691,7.634884,7.394985,6.655594,6.648504,6.291630,6.203297,6.578724,-1.103489,6.954150,6.578724,6.501685,0.226439,6.424646,6.537636,6.426326,0.327174,6.315015
2088,6.412203,7.421430,7.178108,6.426736,6.419664,6.018978,5.991800,6.446874,-1.317991,6.901948,6.446874,6.435612,0.032619,6.424349,6.440867,6.379443,0.177898,6.318018
2089,6.333268,7.154377,6.922343,6.097815,6.091051,5.688775,5.674188,6.294942,-1.881755,6.915696,6.294942,6.367815,-0.220909,6.440689,6.333808,6.332651,0.003507,6.331494
2090,6.273439,6.979137,6.742528,5.932643,5.925700,5.503796,5.497568,6.190016,-2.054965,6.882465,6.190016,6.313559,-0.366636,6.437102,6.255906,6.293478,-0.111502,6.331050
2091,6.203526,6.761953,6.536004,5.662690,5.656158,5.244563,5.238614,6.059636,-2.546690,6.880658,6.059636,6.252356,-0.597789,6.445076,6.162420,6.250504,-0.273223,6.338587
2092,6.221566,7.167852,6.951900,6.152268,6.145923,5.749918,5.736340,6.144203,-1.328567,6.552066,6.144203,6.251468,-0.349404,6.358733,6.201411,6.244601,-0.140685,6.287790
2093,6.210618,7.225083,7.026330,6.210031,6.202363,5.847323,5.779104,6.140460,-1.279239,6.501816,6.140460,6.236881,-0.341340,6.333302,6.191885,6.232028,-0.142111,6.272171
2094,6.410091,8.419609,8.235244,7.799961,7.793257,7.481794,7.267050,6.611114,2.517645,5.955179,6.611114,6.380060,0.886844,6.149006,6.487885,6.321184,0.639843,6.154482
2095,6.585610,9.006220,8.722040,8.436895,8.424262,8.152315,7.945385,6.952743,4.218506,5.960102,6.952743,6.529760,1.797586,6.106776,6.727152,6.423848,1.288974,6.120544
2096,6.741520,9.381835,9.028557,9.072817,9.050683,8.768873,8.566105,7.250140,5.500499,5.934176,7.250140,6.664118,2.449472,6.078095,6.937595,6.517433,1.756201,6.097272
2097,6.852758,9.653954,9.250566,9.351894,9.327916,9.056282,8.877781,7.442135,5.983962,6.006490,7.442135,6.765902,2.818630,6.089669,7.081478,6.591364,2.042858,6.101251
2098,6.946877,9.848189,9.383147,9.483736,9.459679,9.225399,9.067526,7.589863,6.315410,6.112201,7.589863,6.855866,3.137043,6.121870,7.198398,6.659425,2.303529,6.120451
2099,7.059026,10.055311,9.577899,9.737601,9.709790,9.534174,9.409868,7.778917,7.143813,6.147965,7.778917,6.958578,3.593209,6.138238,7.341403,6.736311,2.650391,6.131219
2100,7.273342,10.282628,9.909245,10.293317,10.263175,10.132450,10.034497,8.135926,9.224526,6.237355,8.135926,7.155735,4.762420,6.175545,7.613157,6.884981,3.537970,6.156804
2101,7.441271,10.401465,10.001952,10.468992,10.442367,10.337130,10.256346,8.366338,9.911470,6.476329,8.366338,7.323159,5.470572,6.279981,7.809976,7.019894,4.143297,6.229813
2102,7.608012,10.669787,10.301930,10.777075,10.760077,10.675041,10.606578,8.609972,10.834481,6.613365,8.609972,7.484168,6.109114,6.358365,8.009543,7.149119,4.669046,6.288695
2103,7.788166,10.903761,10.571432,11.080041,11.064448,11.006903,10.932405,8.862537,11.811247,6.792669,8.862537,7.660504,6.859137,6.458471,8.221453,7.292980,5.298123,6.364508
2104,7.940375,11.085018,10.806549,11.360489,11.340603,11.299104,11.213637,9.073832,12.429500,6.934026,9.073832,7.809393,7.344753,6.544954,8.399464,7.415701,5.714389,6.431939
2105,8.063726,11.386984,11.201833,11.692130,11.679342,11.642560,11.527570,9.260640,12.946256,6.993709,9.260640,7.925834,7.622967,6.591028,8.548743,7.509421,5.935485,6.470099
2106,7.658157,11.049451,10.806034,11.013515,10.996653,10.938024,10.722613,8.659086,7.367734,6.595558,8.659086,7.534815,4.014160,6.410543,8.059474,7.199508,3.070470,6.339542
