,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,central_loop_P_cp,GHX0_P_cp
1,266.0,0.0,13.834029621875619,3.4767107888965453e-06,0.09643531166835943
2,266.0,0.0,13.85665526098396,3.4937972480214923e-06,0.09675101069210776
3,266.0,0.0,13.861873659938682,3.497746013705049e-06,0.09682389703201472
4,266.0,0.0,13.86499142263168,3.500106645873798e-06,0.0968674564944023
5,266.0,0.0,13.867191348367545,3.501772971424681e-06,0.09689819839825911
6,266.0,0.0,13.871631102453915,3.505137457116665e-06,0.09696025466172357
7,266.0,0.0,13.875994699602387,3.5084463296392147e-06,0.09702126580513963
8,266.0,0.0,13.879699888948533,3.5112575722969973e-06,0.09707308625663628
9,266.0,0.0,13.88290946487033,3.5136939911111034e-06,0.09711798628562032
10,266.0,0.0,13.885740485319277,3.5158439802421173e-06,0.09715759916924437
11,266.0,0.0,13.888273044723773,3.517768049287318e-06,0.09719304269930601
12,266.0,0.0,13.890564218600336,3.519509334459739e-06,0.09722511357351347
13,266.0,0.0,13.892656118752692,3.5210996739512617e-06,0.09725439971934116
14,266.0,0.0,13.894580708452516,3.522563240948507e-06,0.09728134745047276
15,266.0,0.0,13.896362823585442,3.5239188238026086e-06,0.09730630360900029
16,266.0,0.0,13.898022146699999,3.5251813163564888e-06,0.0973295431056518
17,266.0,0.0,13.899574541472088,3.5263627256852636e-06,0.09735128753961617
18,266.0,0.0,13.900999880556292,3.52744767502123e-06,0.0973712544399195
19,266.0,0.0,13.902249199316154,3.5283988229957606e-06,0.09738875723860828
20,266.0,0.0,13.903428965165554,3.5292971749753037e-06,0.09740528705380282
21,266.0,0.0,13.904548274482567,3.5301496322916435e-06,0.09742097110329129
22,266.0,0.0,13.905613071374209,3.530960700758086e-06,0.09743589248255093
23,266.0,0.0,13.90662842881429,3.531734226309672e-06,0.09745012211338624
24,266.0,0.0,13.907598741848805,3.532473541424693e-06,0.09746372144452137
25,266.0,0.0,13.908527843995628,3.533181553226124e-06,0.09747674407757981
26,266.0,0.0,13.909419099049304,3.533860812973696e-06,0.09748923704955591
27,266.0,0.0,13.910275474840903,3.5345135719043686e-06,0.0975012418632775
28,266.0,0.0,13.91109960306232,3.5351418265286897e-06,0.09751279532323597
29,266.0,0.0,13.911893828200428,3.5357473556863227e-06,0.09752393021930937
30,266.0,0.0,13.912660247876909,3.536331751097146e-06,0.09753467589043618
31,266.0,0.0,13.913400746344024,3.5368964427320452e-06,0.09754505869268419
32,266.0,0.0,13.914117022484252,3.5374427200231026e-06,0.097555102390538
33,266.0,0.0,13.914810613361817,3.5379717497062397e-06,0.09756482848604367
34,266.0,0.0,13.915482914148159,3.5384845909183026e-06,0.09757425649729146
35,266.0,0.0,13.916135195071364,3.5389822080406027e-06,0.09758340419531737
36,266.0,0.0,13.91676861590758,3.5394654816809313e-06,0.09759228780665825
37,266.0,0.0,13.917384238430193,3.5399352181088194e-06,0.09760092218737058
38,266.0,0.0,13.917983037152748,3.540392157398377e-06,0.09760932097320466
39,266.0,0.0,13.91856590863875,3.5408369804854845e-06,0.09761749670975174
40,266.0,0.0,13.919133679601906,3.5412703153086413e-06,0.09762546096568683
41,266.0,0.0,13.919687113980581,3.541692742172606e-06,0.09763322443167505
42,266.0,0.0,13.920226919138555,3.5421047984500144e-06,0.09764079700706631
43,266.0,0.0,13.920753751318458,3.5425069827166963e-06,0.0976481878761451
44,266.0,0.0,13.921268220453449,3.5428997584006108e-06,0.09765540557540929
45,266.0,0.0,13.921770894425652,3.543283557011508e-06,0.09766245805311582
46,266.0,0.0,13.922262302846052,3.543658781007855e-06,0.0976693527221372
47,266.0,0.0,13.922742940418878,3.544025806348797e-06,0.09767609650700859
48,266.0,0.0,13.923213269944211,3.544384984771873e-06,0.09768269588591848
49,266.0,0.0,13.923673725004459,3.5447366458310507e-06,0.09768915692827843
50,266.0,0.0,13.924124712373828,3.545081098724753e-06,0.09769548532842112
