,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp,ISHX0_P_cp
1,26442.721200676697,659.4465653999997,1921.8858006682904,4323.787416784401,-0.0,189.47372931682747,24090.447081230395,0.0,1156.164084942896,115.31476893060004,-0.0,5.0532362506476325,9012.644121039999,0.0,275.15456066158345,487.07998137740014,-0.0,21.34444912552664,884.5332453543352,167.1327330037955,89.13745760202424,77.99527540177122,539.153139284923
2,26997.12715597588,597.5005545793275,1965.8701342022773,4533.751434144562,-0.0,201.28393362224602,26785.861048636845,0.0,1289.414157925412,115.51350450323781,-0.0,5.1061510578243965,9063.667745429566,0.0,278.63070305235834,285.5453419092492,-0.0,12.637020399759876,1027.4407528651645,184.6814463755161,98.49677140027525,86.18467497524084,582.5930643440413
3,27510.287149313328,547.0362887567312,2000.1206478728525,4546.337405241167,-0.0,202.05512705194246,24788.541062987544,0.0,1193.8513997836544,119.94668000362185,-0.0,5.308131056462666,9258.272861881149,0.0,284.85549996052595,121.31025240125653,-0.0,5.374408342945389,983.3700030855931,179.36183806676422,95.65964696894092,83.70219109782329,611.4630532553524
4,27949.44760814254,502.26165063163194,2028.626747885375,4553.910012097334,-0.0,202.53834707424735,27195.049087925054,0.0,1310.2057260678405,116.35916844032086,-0.0,5.152121176509289,9375.30763705976,0.0,288.57145680077616,121.53791607475709,-0.0,5.387634634344484,1105.2450920126628,193.89106968769653,103.40857050010482,90.48249918759173,636.0801307694261
5,28113.47206603534,629.9843716024257,2052.8271139662766,4566.360847772412,-0.0,203.24966551761372,25118.200979290497,0.0,1210.470598114175,120.0671119780251,-0.0,5.320213028708968,9379.436114200009,0.0,288.855938453553,287.73761895802414,-0.0,12.764253332404586,1047.0006934798498,187.01799145996543,99.74292877864825,87.27506268131721,657.7342710383829
6,28296.24469316453,640.4823804927621,2067.212825515037,4569.97467380067,-0.0,203.42273355731726,27509.166327880186,0.0,1325.8874132746716,160.876693500647,-0.0,7.129332857478871,9141.667781492379,0.0,281.5579062320424,1560.5714512197226,-0.0,69.23768028841141,1176.2853944781668,202.11282951667667,107.79350907556086,94.31932044111576,670.6312549377385
7,34109.21048443379,2168.36012279827,2615.8234807480508,4576.243915379641,-0.0,203.80086546604622,25359.7363515263,0.0,1222.4823848221592,121.64539691251795,-0.0,5.393488122353218,8701.707338609065,0.0,268.1073988182692,5275.339561264102,-0.0,234.1542920683856,1683.268221817189,256.6578985091819,136.88421253823034,119.77368597095156,1289.529047402044
8,27203.757378833303,3071.7943722356176,2204.590590061408,4555.9001089385665,-0.0,202.64586482344617,27687.969662625037,0.0,1334.8752515049077,116.54184929211395,-0.0,5.165494880596236,8568.341041719834,0.0,263.9328016812593,5598.780186873004,-0.0,248.38289009934167,1381.213870009621,224.95348565122129,119.97519234731803,104.97829330390326,800.1385751286265
9,25844.929808172117,3042.8197890091405,2104.370016651629,6014.241564135509,-0.0,266.94257958471377,24201.156831843142,0.0,1166.2761500189695,120.36846628791446,-0.0,5.332517255673395,8860.499561425042,0.0,272.83451222718037,5369.906490806805,-0.0,238.12316798436143,1194.2638352220956,204.16702510124858,108.88908005399925,95.2779450472493,759.6137651163025
10,21822.06952689361,3610.9442858835814,1868.2359410115973,7488.576055923681,-0.0,332.2635647158471,24312.576097116682,0.0,1171.6579240724768,116.48156939705477,-0.0,5.15920434534537,8725.540863345632,0.0,268.6358852675246,4704.938263777122,-0.0,208.60732233254313,1032.6181319245927,185.30134563812564,98.82738434033365,86.47396129779199,601.3713054003492
11,21043.125735558307,3790.7036365395356,1827.7644310886476,8921.07619036887,-0.0,395.09227023603745,21014.686563698564,0.0,1012.440333652961,119.69801052458163,-0.0,5.299232575151219,8450.888883909145,0.0,260.0913043105755,4257.266210654466,-0.0,188.67668172988436,903.5485106096897,169.51952397416278,90.41041278622015,79.10911118794262,615.8690180869448
12,20271.367464341278,3970.4052401732297,1788.2175411521857,8900.695819636168,-0.0,393.92917092326553,21501.712967554085,0.0,1035.840446882083,145.53111728833576,-0.0,6.440311624087117,8137.335799827326,0.0,250.36600323075527,3425.7215098418387,-0.0,151.76357584575163,864.991650660621,164.66198688017627,87.819726336094,76.84226054408228,582.2527039435242
13,19613.85766880643,4132.128926926117,1755.307865883456,8886.911789299616,-0.0,393.1126104872328,18907.19965492076,0.0,910.7467126384992,149.6578131093143,-0.0,6.6219955802884405,7909.103078927002,0.0,243.31855865978656,2983.5331794152858,-0.0,132.1522988637456,742.0672615213965,148.66688973757422,79.28900786003959,69.37788187753465,555.3387624886335
14,19127.61585502086,4278.071701903782,1732.930738973884,8867.866227832532,-0.0,392.0318916854664,20440.221186987976,0.0,984.4631271672145,192.57588472795666,-0.0,8.5169795975727,7837.138549797976,0.0,241.0191710815431,2649.291019346434,-0.0,117.2935896870492,767.818221566527,152.0866232239087,81.11286571941798,70.97375750449072,537.1482342955883
