,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHX0_P_cp,GHX1_P_cp,GHX2_P_cp
1,26442.721200676697,659.4465653999997,1921.8858006682904,4323.787416784401,-0.0,189.47372931682747,24090.447081230395,0.0,1156.164084942896,115.31476893060004,-0.0,5.0532362506476325,9012.644121039999,0.0,275.15456066158345,487.07998137740014,-0.0,21.34444912552664,746.2701255688917,110.4942044392353,58.930242367592186,51.56396207164315
2,26272.639311180097,611.4255744220438,1903.5615975194714,4309.478916853532,-0.0,188.65854848359533,25947.73892068162,0.0,1244.6106646454214,111.35906120775118,-0.0,4.875029963782562,8694.39128690844,0.0,265.213536970852,274.20014472123256,-0.0,12.003818163442629,788.1378528469887,114.58917322733082,61.1142257212431,53.47494750608771
3,26854.562445689986,558.0118307717772,1943.3598178541897,4335.062321920641,-0.0,190.06974568848355,24096.230664754625,0.0,1156.7811803385766,115.93289877151665,-0.0,5.083049550408346,8906.956272781514,0.0,272.0503242249516,116.82813351106506,-0.0,5.122300898287948,746.5432181492943,110.52115920737836,58.944618243935125,51.57654096344325
4,27327.579102148997,511.50967037739514,1974.5944497958237,4347.584202726104,-0.0,190.7800494816786,26466.14406799923,0.0,1271.1335626147793,112.65193257447898,-0.0,4.9433755089296865,9036.375611108304,0.0,276.1969601163359,117.22762781734967,-0.0,5.14416549346882,858.3604334177659,121.29845110955117,64.69250725842727,56.605943851123875
5,27531.152083511013,640.595432696168,2002.1235316817078,4364.419707039529,-0.0,191.6862596798135,24491.322641959014,0.0,1176.832670612726,116.36537072751874,-0.0,5.110792308777122,9051.155844741916,0.0,276.8467104570399,277.857181519304,-0.0,12.203547647973258,801.4449667645692,115.87540512947325,61.80021606905239,54.075189060420854
6,27739.320060196053,650.653185077287,2018.6537905041057,4374.177802595381,-0.0,192.19492812337856,26841.956932775516,0.0,1290.0661381000073,156.11080080860359,-0.0,6.859278587827452,8834.121515053206,0.0,270.299661642142,1508.7701198698855,-0.0,66.29313618002405,923.6266501640575,127.37174499356578,67.93159732990175,59.44014766366402
7,33472.48496666715,2200.6273552473117,2560.797095599385,4384.083300248001,-0.0,192.74690536638204,24781.253480231524,0.0,1191.4026403264245,118.1264453993014,-0.0,5.193447576910381,8415.636744143896,0.0,257.6208485088238,5105.002463790973,-0.0,224.44222871581928,1239.7229824487065,154.98579546608582,82.65909091524578,72.32670455084006
8,26804.315660079672,3107.190323912746,2170.44491821436,4396.846948208155,-0.0,193.4986708703696,27150.82791428493,0.0,1305.9888996661148,113.71204840941695,-0.0,5.004297508726393,8331.84962915041,0.0,255.25632516802304,5446.9376918072485,-0.0,239.71159699064523,1103.3047502207294,143.39668791230292,76.47823355322824,66.9184543590747
9,25530.990248488397,3071.830925339421,2077.582635700166,5846.078715320136,-0.0,257.32172991279305,23834.880342094442,0.0,1146.5893762948515,117.70494845660377,-0.0,5.180915692561082,8637.576721262043,0.0,264.65887499360855,5235.001432237276,-0.0,230.42447600117168,943.3775509436452,129.18115203961352,68.89661442112721,60.28453761848633
10,21549.721700198348,3646.402619440928,1845.3155157095014,7283.627836382061,-0.0,320.55412914962164,23928.09682347603,0.0,1150.99459085891,113.92734061194734,-0.0,5.013968351564671,8507.982122470408,0.0,260.6604306159137,4586.448438879278,-0.0,201.85064616712648,831.3307691351057,118.73844714322517,63.3271718097201,55.41127533350508
