,Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX0_CNT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX1_CNT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],GHX2_CNT[C]
17,5.138501,4.264453,4.264453,5.138501,0.769418,3.675901,5.138501,2.141739,3.010339,5.138501,0.769418,3.007547,5.138501,2.123270,2.889726,5.138501,0.769418,2.830754,2.830754,3.984627,-7.251386,5.138501,5.138501,2.830754,3.984623,-7.251361,5.138493,5.138498,2.830754,3.984632,-7.251415,5.138510,5.138501
18,5.025316,3.486149,3.486149,5.025316,0.661190,3.140668,5.025316,2.031960,2.662217,5.025316,0.661190,2.659983,5.025316,2.013369,2.587620,5.025316,0.661190,2.524609,2.524609,3.774962,-8.825250,5.025316,5.025316,2.524609,3.774958,-8.825217,5.025307,5.025313,2.524609,3.774968,-8.825287,5.025326,5.025316
19,5.005388,3.002827,3.002827,5.005388,0.651695,2.821246,5.005388,2.019588,2.476504,5.005388,0.651695,2.474418,5.005388,2.001032,2.421063,5.005388,0.651695,2.350371,2.350371,3.677879,-9.035145,5.005388,5.005388,2.350371,3.677874,-9.035112,5.005378,5.005384,2.350371,3.677885,-9.035182,5.005399,5.005388
20,4.926410,3.050058,3.050058,4.926410,0.576616,2.846829,4.926410,1.943306,2.417133,4.926410,0.576616,2.415029,4.926410,1.924667,2.358832,4.926410,0.576616,2.292292,2.292292,3.609351,-9.156301,4.926410,4.926410,2.292292,3.609346,-9.156267,4.926400,4.926406,2.292292,3.609357,-9.156339,4.926421,4.926410
21,4.875906,2.310421,2.310421,4.875906,0.534396,2.174071,4.875906,1.898733,2.050667,4.875906,0.534396,2.048994,4.875906,1.880077,2.029089,4.875906,0.534396,1.978785,1.978785,3.427346,-10.248230,4.875906,4.875906,1.978785,3.427340,-10.248192,4.875895,4.875902,1.978785,3.427352,-10.248273,4.875918,4.875906
22,4.784204,2.281131,2.281131,4.784204,0.449618,2.129735,4.784204,1.811899,1.972733,4.784204,0.449618,1.970416,4.784204,1.793161,1.948822,4.784204,0.449618,1.908087,1.908087,3.346145,-10.296933,4.784204,4.784204,1.908087,3.346140,-10.296894,4.784193,4.784200,1.908087,3.346151,-10.296977,4.784216,4.784204
23,4.752993,2.043276,2.043276,4.752993,0.427284,1.909893,4.752993,1.787072,1.851058,4.752993,0.427284,1.849461,4.752993,1.768348,1.838611,4.752993,0.427284,1.804640,1.804640,3.278817,-10.402118,4.752993,4.752993,1.804640,3.278811,-10.402080,4.752983,4.752990,1.804640,3.278823,-10.402162,4.753006,4.752993
24,4.643227,1.862157,1.862157,4.643227,0.323252,1.736534,4.643227,1.681278,1.708835,4.643227,0.323252,1.707336,4.643227,1.662439,1.701202,4.643227,0.323252,1.683559,1.683559,3.163393,-10.945124,4.643227,4.643227,1.683559,3.163387,-10.945083,4.643216,4.643223,1.683559,3.163399,-10.945171,4.643240,4.643227
25,4.642576,1.840803,1.840803,4.642576,0.332230,1.715793,4.642576,1.687595,1.702237,4.642576,0.332230,1.700515,4.642576,1.668817,1.695700,4.642576,0.332230,1.690128,1.690128,3.166352,-10.459915,4.642576,4.642576,1.690128,3.166347,-10.459877,4.642566,4.642573,1.690128,3.166358,-10.459959,4.642589,4.642576
26,4.553948,1.727773,1.727773,4.553948,0.246085,1.605819,4.553948,1.600620,1.603205,4.553948,0.246085,1.601543,4.553948,1.581736,1.598559,4.553948,0.246085,1.595575,1.595575,3.074762,-10.976629,4.553948,4.553948,1.595575,3.074756,-10.976588,4.553937,4.553944,1.595575,3.074768,-10.976676,4.553961,4.553948
