,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHX0_EFT[C],GHX0_MFT[C],GHX0_q_ghe[W/m],GHX0_ExFT[C],GHX1_EFT[C],GHX1_MFT[C],GHX1_q_ghe[W/m],GHX1_ExFT[C],GHX2_EFT[C],GHX2_MFT[C],GHX2_q_ghe[W/m],GHX2_ExFT[C],ISHX0_N_EFT[C],ISHX0_N_ExFT[C],ISHX0_HP_EFT[C]
2102,8.700928,12.473659,9.788124,10.125291,10.113261,10.053053,10.004594,8.681086,11.125193,7.357578,8.681086,7.797801,7.424752,6.914516,8.210001,7.485255,6.092095,6.760510,7.871786,11.188352,12.017494
2103,8.935220,12.765310,10.058767,10.419279,10.408255,10.367558,10.314887,8.942664,12.142768,7.570440,8.942664,8.005402,8.293801,7.068141,8.442791,7.666424,6.870051,6.890057,8.080486,11.499419,12.354153
2104,9.144749,13.053077,10.297943,10.691613,10.677518,10.648093,10.587509,9.162228,12.804931,7.736947,9.162228,8.177990,8.842542,7.193751,8.637301,7.817587,7.364428,6.997873,8.254768,11.814692,12.704673
2105,9.356959,13.415031,10.623813,10.970076,10.961069,10.935151,10.854159,9.354387,13.328917,7.854616,9.354387,8.319001,9.201789,7.283614,8.802181,7.938942,7.671865,7.075702,8.399336,12.229829,13.187452
2106,8.858640,12.834077,10.139677,10.284394,10.272665,10.231865,10.082018,8.739403,7.552716,7.396788,8.739403,7.863323,4.928279,6.987243,8.272160,7.552969,4.045724,6.833777,7.936538,11.624946,12.547049
2107,8.549296,12.457263,9.816412,9.812632,9.801939,9.726883,9.554629,8.357113,5.576237,7.159598,8.357113,7.591671,3.564286,6.826229,7.948878,7.324889,2.905608,6.700900,7.657683,11.224137,12.115750
2108,8.118982,11.761413,9.091422,9.032857,9.016829,8.875561,8.660220,7.861516,2.712171,7.062812,7.861516,7.289957,1.940852,6.718398,7.556685,7.080711,1.616271,6.604737,7.334564,10.472238,11.256657
2109,7.979407,11.623643,8.920639,8.832749,8.823058,8.643548,8.459071,7.660270,2.580807,6.861469,7.660270,7.140186,1.680315,6.620101,7.382892,6.955504,1.380826,6.528116,7.183444,10.367298,11.163261
2110,7.725486,11.135171,8.299527,7.902186,7.895529,7.684600,7.532324,7.315248,0.736366,7.098173,7.315248,6.989856,1.103800,6.664463,7.141706,6.844365,1.008640,6.547025,7.002947,9.893102,10.615641
2111,7.527310,10.715269,7.944829,7.422369,7.415803,7.162361,7.080484,7.078159,0.008145,7.075833,7.078159,6.869945,0.729263,6.661732,6.967112,6.754946,0.743105,6.542780,6.868101,9.504938,10.164148
2112,7.371737,10.352998,7.724532,7.177054,7.170550,6.872791,6.847575,6.922982,-0.259988,6.998389,6.922982,6.778227,0.499084,6.633473,6.845779,6.683921,0.558055,6.522063,6.770245,9.176213,9.777704
2113,7.213733,9.956495,7.481773,6.875705,6.869232,6.557163,6.543332,6.762830,-0.775358,6.982328,6.762830,6.693297,0.245622,6.623763,6.725746,6.619864,0.374017,6.513983,6.676334,8.825930,9.363329
2114,7.063198,9.542581,7.277625,6.667400,6.660920,6.322321,6.316496,6.632106,-1.106553,6.947716,6.632106,6.619538,0.044066,6.606969,6.625403,6.563239,0.217951,6.501075,6.596393,8.463611,8.930415
2115,6.911561,9.147267,7.056108,6.377654,6.371474,6.028056,6.022433,6.482872,-1.669309,6.943311,6.482872,6.542968,-0.217875,6.603063,6.514923,6.506250,0.031446,6.497576,6.510875,8.113618,8.514304
2116,7.084185,9.892968,7.348166,6.741420,6.735757,6.409548,6.397415,6.540089,-0.573817,6.682764,6.540089,6.531721,0.033654,6.523354,6.535626,6.491943,0.175689,6.448260,6.515241,8.791016,9.359960
2117,7.084760,9.963427,7.341325,6.704543,6.697875,6.401732,6.342465,6.502372,-0.718360,6.662279,6.502372,6.503597,-0.005503,6.504822,6.503025,6.469417,0.150982,6.435808,6.487341,8.877015,9.474434
2118,7.559389,11.249719,8.274435,7.978505,7.973368,7.736000,7.571390,6.977125,3.273969,6.382859,6.977125,6.685253,1.607998,6.393382,6.821460,6.592135,1.263412,6.362811,6.714442,10.094229,10.939176
2119,7.749614,11.464458,8.657049,8.500414,8.490905,8.300874,8.144932,7.329090,5.059222,6.513249,7.329090,6.878241,2.795820,6.427392,7.088638,6.736168,2.185748,6.383697,6.924152,10.226001,11.051463
2120,7.945783,11.653032,8.941935,9.038629,9.022785,8.859162,8.713945,7.669563,6.700532,6.625182,7.669563,7.073307,3.825456,6.477050,7.351560,6.885108,2.992656,6.418656,7.133882,10.381484,11.193385
2121,8.144616,11.853788,9.158230,9.368163,9.352228,9.228087,9.109396,7.964092,7.895622,6.818788,7.964092,7.270779,4.779637,6.577466,7.594325,7.043949,3.794239,6.493574,7.337483,10.566015,11.373148
2122,8.322057,12.006363,9.349613,9.603470,9.588265,9.506790,9.406975,8.218779,8.838684,7.030583,8.218779,7.462023,5.629312,6.705268,7.815176,7.204484,4.542784,6.593791,7.530186,10.697669,11.489540
2123,8.565261,12.274995,9.592884,9.949552,9.932909,9.884357,9.809924,8.531110,10.297447,7.252297,8.531110,7.692261,6.754703,6.853412,8.083724,7.399111,5.512740,6.714498,7.764238,10.968331,11.769355
2124,8.812662,12.627600,9.928677,10.278743,10.259215,10.230459,10.166933,8.798952,11.266139,7.430972,8.798952,7.888746,7.496094,6.978540,8.313509,7.566021,6.156015,6.818532,7.964681,11.356605,12.204586
2125,8.994490,12.766886,10.074876,10.473753,10.456429,10.442712,10.390122,9.032813,12.020138,7.675503,9.032813,8.092401,8.328155,7.151989,8.531260,7.747665,6.939399,6.964071,8.165582,11.481214,12.310122
2126,9.211155,13.035601,10.344471,10.732310,10.721265,10.717301,10.672821,9.270096,12.875877,7.867371,9.270096,8.284763,9.044555,7.299430,8.744585,7.917952,7.587817,7.091320,8.358823,11.768148,12.620480
2127,9.435746,13.306318,10.583488,10.998119,10.987977,10.991042,10.942577,9.512717,13.779231,8.082856,9.512717,8.488897,9.866311,7.465077,8.966679,8.100868,8.343617,7.235057,8.562634,12.055083,12.928196
2128,9.631917,13.569914,10.793303,11.244236,11.231226,11.240093,11.184167,9.713732,14.337479,8.243297,9.713732,8.653421,10.338562,7.593110,9.148233,8.248071,8.777031,7.347909,8.728157,12.343197,13.246957
2129,9.842538,13.918094,11.103246,11.517490,11.509221,11.517561,11.443200,9.905453,14.911806,8.367707,9.905453,8.798417,10.735126,7.691381,9.315034,8.374835,9.117283,7.434635,8.876274,12.741330,13.707594
2130,9.316178,13.325797,10.619684,10.840059,10.829588,10.842019,10.708079,9.275355,9.034826,7.842632,9.275355,8.302905,6.132318,7.330455,8.756715,7.944895,5.119379,7.133075,8.377866,12.131115,13.069427
2131,9.023547,13.003257,10.422788,10.444850,10.435545,10.441351,10.291599,8.923998,7.344248,7.556396,8.923998,8.026887,4.817633,7.129776,8.445539,7.705112,3.976212,6.964686,8.100006,11.794169,12.717710
2132,8.590432,12.406740,9.846727,9.846727,9.832083,9.828968,9.632186,8.435184,4.465771,7.238181,8.435184,7.676273,2.831342,6.917362,8.030431,7.408994,2.318454,6.787558,7.740427,11.140447,11.990452
2133,8.415969,12.255048,9.682066,9.679655,9.670151,9.646471,9.465287,8.213339,4.136215,6.961391,8.213339,7.488589,2.394446,6.763839,7.826806,7.245906,1.919189,6.665007,7.555719,10.996717,11.856966
2134,8.176948,11.884212,9.221664,9.173730,9.165765,9.109209,8.927311,7.933813,2.840485,6.940316,7.933813,7.316188,1.765838,6.698562,7.604413,7.104027,1.430640,6.603642,7.370900,10.595093,11.401142
2135,8.028200,11.645342,8.939506,8.928654,8.920189,8.824297,8.718508,7.775197,2.578337,6.831887,7.775197,7.205396,1.557431,6.635594,7.471303,7.011437,1.256945,6.551571,7.256699,10.342704,11.114206
